,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
Total Nacional,8.41,8.8,9.02,9.17,9.11,9.69,10.07,10.42,10.65,11.28,10.86,10.85,10.65,10.57,10.44,10.08
01 Andalucía,8.89,9.43,9.6,9.8,9.71,10.3,10.72,11.1,11.48,12.28,11.93,12.03,11.76,11.64,11.42,11.01
02 Aragón,8.0,8.3,8.59,8.73,8.74,8.94,9.38,9.63,9.72,10.23,9.82,9.57,9.2,9.21,8.93,8.51
03 Asturias,5.84,6.12,6.18,6.26,6.28,7.12,7.24,7.21,7.63,7.65,7.33,7.14,7.04,6.8,6.69,17.1
04 Balears,8.88,9.29,9.38,9.53,9.46,9.96,10.28,11.0,11.17,12.02,11.62,11.83,11.44,11.68,11.86,21.18
05 Canarias,7.29,7.54,7.59,7.74,7.52,8.22,8.4,8.92,9.32,10.28,10.03,10.75,10.73,10.51,10.83,11.24
06 Cantabria,7.09,7.3,7.5,7.79,8.21,8.57,9.03,9.46,9.58,10.13,9.39,9.27,9.44,9.18,8.94,8.47
07 Castilla y León,6.4,6.82,7.06,7.2,7.11,7.54,7.82,8.05,8.01,8.37,7.94,7.9,7.81,7.64,7.54,7.36
08 Castilla - La Mancha,8.29,8.71,8.87,8.9,9.15,9.71,10.16,10.52,10.75,11.24,10.42,10.5,10.03,10.01,9.95,9.63
09 Cataluña,8.97,9.29,9.53,9.67,9.62,10.33,10.83,11.28,11.44,12.1,11.62,11.63,11.49,11.35,11.03,10.59
10 Comunitat Valenciana,8.18,8.52,8.81,8.96,8.9,9.52,9.89,10.36,10.51,11.51,11.19,11.14,10.95,10.89,10.8,10.39
11 Extremadura,7.92,8.12,8.18,8.38,8.09,8.55,9.01,9.2,9.4,9.84,9.19,9.39,9.32,9.28,9.38,9.24
12 Galicia,6.82,7.03,7.13,7.17,7.17,7.63,7.79,7.95,8.14,8.4,7.92,7.83,7.74,7.6,7.54,7.16
13 Madrid,9.31,9.79,10.14,10.27,10.22,10.8,11.24,11.57,11.95,12.54,12.16,11.98,11.73,11.88,11.75,23.26
14 Murcia,10.24,10.57,10.91,11.15,11.02,11.42,11.91,12.38,12.82,13.54,13.24,13.23,12.98,12.91,13.04,26.12
15 Navarra,8.96,9.24,9.44,9.72,9.54,10.53,10.57,10.67,10.86,11.3,10.82,10.98,10.46,10.85,10.8,21.41
16 País Vasco,7.88,8.43,8.71,8.95,8.81,9.42,9.69,9.71,9.6,9.83,9.57,9.38,9.29,9.29,9.19,8.69
17 Rioja,8.21,8.51,8.73,9.02,9.16,9.96,9.88,10.55,10.41,11.05,10.47,10.07,10.11,9.99,9.98,20.02
18 Ceuta,12.29,12.51,12.97,14.2,12.85,13.4,14.06,14.79,14.81,15.37,15.24,14.2,14.75,14.82,14.26,14.44
19 Melilla,15.82,17.19,17.83,19.33,18.04,18.34,18.15,17.55,17.09,17.34,15.87,16.52,15.25,15.39,17.04,16.02
